<dbl>,<fct>,MASA,VELOCIDAD,TAMAÑO,RESIDUO
101,1,2,2,1,65
102,1,2,1,1,3.5
103,1,1,1,2,51
104,1,2,2,2,49
105,1,1,2,1,62
106,1,1,1,1,68
107,1,2,1,2,2.5
108,1,1,2,2,5
109,2,1,2,2,5
110,2,2,2,1,4.5
111,2,2,1,1,65
112,2,1,1,1,5
113,2,1,1,2,69
114,2,2,2,2,52
115,2,2,1,2,7
116,2,1,2,1,55
